code,lattice,n,dX,dZ,dY,sigma,P_single,P_single_se,P_L,P_L_se,P_L_union,P_X,P_Y,P_Z,cvp_per_s,nsamples
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2600,2.960603e-01,6.344199e-03,4.156045e-01,6.848769e-03,1.191937e-02,2.526072e-01,7.242178e-02,9.057551e-02,86.3,5178
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2600,2.975391e-01,8.827825e-03,4.090231e-01,9.493575e-03,5.209425e-03,1.621924e-01,8.724832e-02,1.595824e-01,44.7,2682
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2600,1.555556e-01,1.350710e-02,4.750000e-01,1.861059e-02,1.628145e-03,1.694444e-01,7.916667e-02,2.263889e-01,0.6,720
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2700,3.270274e-01,5.681074e-03,4.946473e-01,6.054590e-03,6.946548e-03,1.755389e-01,1.566212e-01,1.624872e-01,7.1,6819
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2700,3.054775e-01,1.220612e-02,4.971910e-01,1.324976e-02,6.668866e-03,1.629213e-01,1.748596e-01,1.594101e-01,1.6,1424
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2700,2.894737e-01,3.678518e-02,5.460526e-01,4.038297e-02,5.035578e-03,2.039474e-01,1.447368e-01,1.973684e-01,0.3,152
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2700,2.165303e-01,6.042698e-03,4.937581e-01,7.334940e-03,1.562908e-02,2.795954e-01,9.233749e-02,1.218252e-01,77.4,4646
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2700,2.195756e-01,8.614805e-03,4.850585e-01,1.040074e-02,7.334677e-03,1.987874e-01,1.108705e-01,1.754006e-01,38.5,2309
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2700,1.174743e-01,1.233848e-02,5.242291e-01,1.913753e-02,2.479591e-03,2.290749e-01,9.838473e-02,1.967695e-01,0.6,681
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2800,2.444582e-01,5.350792e-03,5.617734e-01,6.177552e-03,9.476536e-03,1.905131e-01,1.805922e-01,1.906681e-01,7.1,6451
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2800,2.133028e-01,1.132656e-02,5.963303e-01,1.356603e-02,9.130198e-03,1.918960e-01,1.995413e-01,2.048930e-01,1.3,1308
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2800,1.632653e-01,3.048472e-02,5.646259e-01,4.089338e-02,7.007260e-03,2.585034e-01,1.428571e-01,1.632653e-01,0.3,147
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2800,1.563755e-01,5.754390e-03,5.351406e-01,7.901965e-03,1.997339e-02,2.853916e-01,1.116968e-01,1.380522e-01,66.4,3984
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2800,1.456511e-01,8.002728e-03,5.542975e-01,1.127607e-02,9.980492e-03,2.146166e-01,1.322697e-01,2.074112e-01,32.4,1943
SC_5x5,hexagonal,25,1.699044,1.699044,1.699044,0.2800,6.944444e-02,1.132334e-02,5.694444e-01,2.205591e-02,3.619926e-03,2.202381e-01,1.607143e-01,1.884921e-01,0.4,504
reduced_ldlc_gkp_n_15_5.jld2,ldlc,15,1.508935,1.526685,1.577227,0.2900,1.727774e-01,4.815300e-03,6.168073e-01,6.192301e-03,1.254911e-02,2.084685e-01,2.037638e-01,2.045750e-01,6.6,6164
reduced_ldlc_gkp_n_16_8.jld2,ldlc,16,1.533329,1.535789,1.541814,0.2900,1.393312e-01,9.771189e-03,6.433121e-01,1.351637e-02,1.212803e-02,2.030255e-01,2.117834e-01,2.285032e-01,1.3,1256
reduced_ldlc_gkp_n_17_15.jld2,ldlc,17,1.557180,1.563055,1.652672,0.2900,1.836735e-01,3.193718e-02,6.462585e-01,3.943551e-02,9.447333e-03,1.632653e-01,2.721088e-01,2.108844e-01,0.3,147
SC_3x5,hexagonal,15,1.316074,1.699044,1.699044,0.2900,1.200776e-01,5.413030e-03,5.712701e-01,8.241377e-03,2.496082e-02,2.806434e-01,1.331115e-01,1.575153e-01,60.1,3606
SC_4x4,hexagonal,16,1.519671,1.519671,1.519671,0.2900,9.890110e-02,7.179419e-03,6.153846e-01,1.170009e-02,1.318471e-02,2.319260e-01,1.492192e-01,2.342394e-01,28.8,1729
